TANDEM DATA:  run;hv;pmt;detector;energy;pedestal;
              upstream-signal;upstream-rms;downstream-signal;downstream-rms

BENCHMARK DATA:   run;hv;pmt;detector;energy;pedestal;signal;sig-rms

OTHER DATA:   run;hv;pmt;detector;energy;pedestal;signal;sig-rms

426,2000,2,tandem,8,1296,28,5,77,12
427,2000,2,tandem,8,1296,25,4,73,12
428,2000,2,tandem,8,1296,11,5,30,8
429,1100,7,mainz-ring5,8,1300,-1,-3
430,1100,7,mainz-ring5,8,1300,-1,-3
431,1100,7,mainz-ring5,8,1300,-1,-3
432,1100,7,mainz-ring5,8,1300,-1,-3
433,1100,7,mainz-ring5,8,1300,-1,-3
434,1100,7,mainz-ring5,8,1300,-1,-3
435,1100,7,mainz-ring5,8,1300,-1,-3
436,1100,7,mainz-ring5,8,1300,-1,-3
437,1100,7,mainz-ring5,8,1300,-1,-3
438,1400,8,cameron-ring5,8,1300,-1,-3
439,1400,8,cameron-ring5,8,1300,-1,-3
440,0,7,cameron-ring5,8,1300,-1,-3
441,1100,7,cameron-ring5,8,1300,-1,-3

443,2000,9,sam,8,1300,-1,-3
444,2000,9,sam,8,1300,-1,-3
445,2000,9,sam,8,1300,-1,-3
447,2000,9,sam,8,1300,-1,-3
448,2000,9,sam,8,1300,-1,-3
449,2000,9,sam,8,1300,-1,-3
450,2000,9,sam,8,1300,-1,-3
451,2000,9,sam,8,1300,-1,-3
455,900,5,1a4s,3,1268,-1,-3
456,900,5,1a4s,3,1268,190,20
457,950,5,1a4s,3,1268,313,48
458,950,5,1b4s,3,1268,211,33
